"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#availabilityconfig-resource-type","","","exchange","availabilityconfig","microsoft.exchange.availabilityconfig","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#calendarProcessing-resource-type","","","exchange","calendarProcessing","microsoft.exchange.calendarProcessing","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#calendarprocessing-resource-type","","","exchange","calendarprocessing","microsoft.exchange.calendarprocessing","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#casmailboxplan-resource-type","","","exchange","casmailboxplan","microsoft.exchange.casmailboxplan","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#casMailboxPlan-resource-type","","","exchange","casMailboxPlan","microsoft.exchange.casMailboxPlan","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#casmailboxsettings-resource-type","","","exchange","casmailboxsettings","microsoft.exchange.casmailboxsettings","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#casMailboxSettings-resource-type","","","exchange","casMailboxSettings","microsoft.exchange.casMailboxSettings","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dataClassification-resource-type","","","exchange","dataClassification","microsoft.exchange.dataClassification","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dataclassification-resource-type","","","exchange","dataclassification","microsoft.exchange.dataclassification","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dataencryptionpolicy-resource-type","","","exchange","dataencryptionpolicy","microsoft.exchange.dataencryptionpolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#dataEncryptionPolicy-resource-type","","","exchange","dataEncryptionPolicy","microsoft.exchange.dataEncryptionPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#distributiongroup-resource-type","","","exchange","distributiongroup","microsoft.exchange.distributiongroup","2026-02-06T10:47:34Z"
